family,dimension_family,free_variables,resolution,sample_count,trace_full_min,trace_full_max,trace_u_min,trace_u_max,trace_split_min,trace_split_max,skyrme_density_max,topological_density_abs_max
periodic_simple,1D,omega,65,65,7.210418611051267,29.23968931247132,14.520000000000003,14.520000000000007,14.520000000000003,14.642500000000002,70.27680000000007,10.648000000000009
periodic_simple,1D,theta,65,65,1.4298328699784193,14.642500000000002,1.3073328699784195,14.520000000000003,1.4298328699784193,14.642500000000002,70.27680000000002,10.648000000000005
periodic_simple,1D,phi,65,65,1.4298328699784193,14.642500000000002,1.3073328699784195,14.520000000000003,1.4298328699784193,14.642500000000002,70.27680000000002,10.648000000000005
periodic_simple,1D,rho,65,65,1.4298328699784193,14.642500000000002,1.3073328699784195,14.520000000000003,1.4298328699784193,14.642500000000002,70.27680000000002,10.648000000000005
periodic_simple,1D,omega,257,257,7.210418611051267,29.23968931247132,14.520000000000003,14.520000000000007,14.520000000000003,14.642500000000002,70.27680000000007,10.648000000000009
periodic_simple,1D,theta,257,257,1.4298328699784193,14.642500000000002,1.3073328699784195,14.520000000000003,1.4298328699784193,14.642500000000002,70.27680000000002,10.648000000000005
periodic_simple,1D,phi,257,257,1.4298328699784193,14.642500000000002,1.3073328699784195,14.520000000000003,1.4298328699784193,14.642500000000002,70.27680000000002,10.648000000000005
periodic_simple,1D,rho,257,257,1.4298328699784193,14.642500000000002,1.3073328699784195,14.520000000000003,1.4298328699784193,14.642500000000002,70.27680000000002,10.648000000000005
periodic_simple,1D,omega,1025,1025,7.210418611051267,29.23968931247132,14.519999999999996,14.520000000000007,14.520000000000003,14.642500000000002,70.27680000000007,10.648000000000009
periodic_simple,1D,theta,1025,1025,1.4298328699784193,14.642500000000002,1.3073328699784195,14.520000000000003,1.4298328699784193,14.642500000000002,70.27680000000002,10.648000000000005
periodic_simple,1D,phi,1025,1025,1.4298328699784193,14.642500000000002,1.3073328699784195,14.520000000000003,1.4298328699784193,14.642500000000002,70.27680000000002,10.648000000000005
periodic_simple,1D,rho,1025,1025,1.4298328699784193,14.642500000000002,1.3073328699784195,14.520000000000003,1.4298328699784193,14.642500000000002,70.27680000000002,10.648000000000005
periodic_simple,2D,omega|theta,33,1089,0.6492022903947288,29.23968931247132,1.307332869978419,14.520000000000003,1.3073328699784195,14.642500000000002,70.27680000000002,10.648000000000005
periodic_simple,2D,omega|phi,33,1089,0.6492022903947288,29.23968931247132,1.307332869978419,14.520000000000003,1.3073328699784195,14.642500000000002,70.27680000000002,10.648000000000005
periodic_simple,2D,omega|rho,33,1089,0.6492022903947288,29.23968931247132,1.307332869978419,14.520000000000003,1.3073328699784195,14.642500000000002,70.27680000000002,10.648000000000005
periodic_simple,2D,theta|phi,33,1089,0.12295959570838823,14.642500000000002,0.0004595957083882625,14.520000000000003,0.12295959570838824,14.642500000000002,70.27680000000002,10.648000000000005
periodic_simple,2D,theta|rho,33,1089,0.12295959570838823,14.642500000000002,0.0004595957083882625,14.520000000000003,0.12295959570838824,14.642500000000002,70.27680000000002,10.648000000000005
periodic_simple,2D,phi|rho,33,1089,0.12295959570838823,14.642500000000002,0.0004595957083882625,14.520000000000003,0.12295959570838824,14.642500000000002,70.27680000000002,10.648000000000005
periodic_simple,2D,omega|theta,129,16641,0.6492022903947288,29.23968931247132,1.307332869978419,14.520000000000007,1.3073328699784195,14.642500000000002,70.27680000000007,10.648000000000009
periodic_simple,2D,omega|phi,129,16641,0.6492022903947288,29.23968931247132,1.307332869978419,14.520000000000007,1.3073328699784195,14.642500000000002,70.27680000000007,10.648000000000009
periodic_simple,2D,omega|rho,129,16641,0.6492022903947288,29.23968931247132,1.307332869978419,14.520000000000007,1.3073328699784195,14.642500000000002,70.27680000000007,10.648000000000009
periodic_simple,2D,theta|phi,129,16641,0.12295959570838823,14.642500000000002,0.0004595957083882625,14.520000000000003,0.12295959570838824,14.642500000000002,70.27680000000002,10.648000000000005
periodic_simple,2D,theta|rho,129,16641,0.12295959570838823,14.642500000000002,0.0004595957083882625,14.520000000000003,0.12295959570838824,14.642500000000002,70.27680000000002,10.648000000000005
periodic_simple,2D,phi|rho,129,16641,0.12295959570838823,14.642500000000002,0.0004595957083882625,14.520000000000003,0.12295959570838824,14.642500000000002,70.27680000000002,10.648000000000005
periodic_simple,3D,theta|phi|rho,17,4913,0.1225,14.642500000000002,1.910836852018382e-32,14.520000000000003,0.12249999999999998,14.642500000000002,70.27680000000002,10.648000000000005
periodic_simple,3D,omega|phi|rho,17,4913,0.0002282284744712134,29.23968931247132,0.0004595957083882625,14.520000000000003,0.0004595957083882625,14.642500000000002,70.27680000000002,10.648000000000005
periodic_simple,3D,omega|theta|rho,17,4913,0.0002282284744712134,29.23968931247132,0.0004595957083882625,14.520000000000003,0.0004595957083882625,14.642500000000002,70.27680000000002,10.648000000000005
periodic_simple,3D,omega|theta|phi,17,4913,0.0002282284744712134,29.23968931247132,0.0004595957083882625,14.520000000000003,0.0004595957083882625,14.642500000000002,70.27680000000002,10.648000000000005
periodic_simple,3D,theta|phi|rho,33,35937,0.1225,14.642500000000002,1.910836852018382e-32,14.520000000000003,0.12249999999999998,14.642500000000002,70.27680000000002,10.648000000000005
periodic_simple,3D,omega|phi|rho,33,35937,0.0002282284744712134,29.23968931247132,0.0004595957083882625,14.520000000000003,0.0004595957083882625,14.642500000000002,70.27680000000002,10.648000000000005
periodic_simple,3D,omega|theta|rho,33,35937,0.0002282284744712134,29.23968931247132,0.0004595957083882625,14.520000000000003,0.0004595957083882625,14.642500000000002,70.27680000000002,10.648000000000005
periodic_simple,3D,omega|theta|phi,33,35937,0.0002282284744712134,29.23968931247132,0.0004595957083882625,14.520000000000003,0.0004595957083882625,14.642500000000002,70.27680000000002,10.648000000000005
periodic_simple,4D,omega|theta|phi|rho,11,14641,0.251306451605929,28.27765378433427,0.477326833979642,14.520000000000003,0.48902454307417653,14.642500000000002,70.27680000000002,10.648000000000005
periodic_simple,4D,omega|theta|phi|rho,17,83521,9.71701732841042e-33,29.23968931247132,1.910836852018382e-32,14.520000000000003,1.9567669953624018e-32,14.642500000000002,70.27680000000002,10.648000000000005
periodic_harmonic,1D,omega,65,65,13.80165777188137,35.229444981568044,22.05,22.050000000000008,22.05050437357218,22.165600000000005,123.82440000000005,5.440000000000003
periodic_harmonic,1D,theta,65,65,1.7032298386230376,22.165600000000005,1.5876298386230374,22.050000000000004,1.7032298386230376,22.165600000000005,123.82440000000005,5.44
periodic_harmonic,1D,phi,65,65,2.7893818346183434,32.805600000000005,2.6737818346183433,32.690000000000005,2.7893818346183434,32.805600000000005,355.7764000000001,35.90400000000002
periodic_harmonic,1D,rho,65,65,5.0146435799189515,22.165600000000005,4.899043579918952,22.050000000000004,5.0146435799189515,22.165600000000005,123.82440000000005,5.44
periodic_harmonic,1D,omega,257,257,13.783826557499104,35.27344017264364,22.049999999999997,22.05000000000001,22.05001091668757,22.165600000000005,123.8244000000001,5.440000000000003
periodic_harmonic,1D,theta,257,257,1.6489882597539092,22.165600000000005,1.533388259753909,22.050000000000004,1.6489882597539092,22.165600000000005,123.82440000000005,5.44
periodic_harmonic,1D,phi,257,257,2.6719263041688275,32.805600000000005,2.5563263041688273,32.690000000000005,2.6719263041688275,32.805600000000005,355.7764000000001,35.90400000000002
periodic_harmonic,1D,rho,257,257,4.987417766837123,22.165600000000005,4.871817766837124,22.050000000000004,4.987417766837123,22.165600000000005,123.82440000000005,5.44
periodic_harmonic,1D,omega,1025,1025,13.783530404955641,35.27417122612799,22.049999999999997,22.05000000000001,22.05000253072427,22.165600000000005,123.8244000000001,5.440000000000003
periodic_harmonic,1D,theta,1025,1025,1.6489882597539092,22.165600000000005,1.533388259753909,22.050000000000004,1.6489882597539092,22.165600000000005,123.82440000000005,5.44
periodic_harmonic,1D,phi,1025,1025,2.66217948835517,32.805600000000005,2.54657948835517,32.690000000000005,2.66217948835517,32.805600000000005,355.7764000000001,35.90400000000002
periodic_harmonic,1D,rho,1025,1025,4.980716776752059,22.165600000000005,4.86511677675206,22.050000000000004,4.980716776752059,22.165600000000005,123.82440000000005,5.44
periodic_harmonic,2D,omega|theta,33,1089,1.348649103920445,35.229444981568044,2.154192798024058,22.050000000000004,2.1546971715962333,22.165600000000005,123.82440000000005,5.440000000000003
periodic_harmonic,2D,omega|phi,33,1089,1.6738657041216916,52.22866133750483,2.6737818346183424,32.690000000000005,2.674286208190518,32.805600000000005,355.77640000000014,35.90400000000002
periodic_harmonic,2D,omega|rho,33,1089,3.0666819654271493,35.229444981568044,4.899043579918952,22.050000000000004,4.899547953491127,22.165600000000005,123.82440000000005,5.440000000000003
periodic_harmonic,2D,theta|phi,33,1089,0.3600308565440218,32.805600000000005,0.2444308565440218,32.690000000000005,0.36003085654402184,32.805600000000005,355.7764000000001,35.90400000000002
periodic_harmonic,2D,theta|rho,33,1089,0.2554071666533853,22.165600000000005,0.13980716665338525,22.050000000000004,0.2554071666533853,22.165600000000005,123.82440000000005,5.44
periodic_harmonic,2D,phi|rho,33,1089,0.4103663230572606,32.805600000000005,0.29476632305726064,32.690000000000005,0.4103663230572606,32.805600000000005,355.7764000000001,35.90400000000002
periodic_harmonic,2D,omega|theta,129,16641,0.9932622434975998,35.251186895681,1.587629838623037,22.05000000000001,1.587902072609774,22.165600000000005,123.8244000000001,5.440000000000003
periodic_harmonic,2D,omega|phi,129,16641,1.608364048110285,52.261073421795416,2.5709768215619446,32.690000000000005,2.571249055548682,32.805600000000005,355.7764000000002,35.90400000000002
periodic_harmonic,2D,omega|rho,129,16641,3.064613051940468,35.251186895681,4.899043579918952,22.05000000000001,4.899315813905688,22.165600000000005,123.8244000000001,5.440000000000003
periodic_harmonic,2D,theta|phi,129,16641,0.14225654168769267,32.805600000000005,0.026656541687692666,32.690000000000005,0.14225654168769267,32.805600000000005,355.7764000000001,35.90400000000002
periodic_harmonic,2D,theta|rho,129,16641,0.15706360839651584,22.165600000000005,0.04146360839651582,22.050000000000004,0.1570636083965158,22.165600000000005,123.82440000000005,5.44
periodic_harmonic,2D,phi|rho,129,16641,0.3648684747505155,32.805600000000005,0.24926847475051547,32.690000000000005,0.3648684747505155,32.805600000000005,355.7764000000001,35.90400000000002
periodic_harmonic,3D,theta|phi|rho,17,4913,0.2554071666533853,32.805600000000005,0.13980716665338525,32.690000000000005,0.2554071666533853,32.805600000000005,355.7764000000001,35.90400000000002
periodic_harmonic,3D,omega|phi|rho,17,4913,1.1242240031028041,49.92508361061742,1.6958965867309852,32.690000000000005,1.6994965867309855,32.805600000000005,355.77640000000014,35.90400000000002
periodic_harmonic,3D,omega|theta|rho,17,4913,0.10470272743059672,33.68531321572383,0.13980716665338525,22.050000000000004,0.14340716665338527,22.165600000000005,123.82440000000005,5.440000000000003
periodic_harmonic,3D,omega|theta|phi,17,4913,1.0862858241547895,49.92508361061742,1.6379917638629269,32.690000000000005,1.641591763862927,32.805600000000005,355.77640000000014,35.90400000000002
periodic_harmonic,3D,theta|phi|rho,33,35937,0.17039747420291995,32.805600000000005,0.05479747420291993,32.690000000000005,0.17039747420291995,32.805600000000005,355.7764000000001,35.90400000000002
periodic_harmonic,3D,omega|phi|rho,33,35937,0.18481323764315774,52.22866133750483,0.2947663230572605,32.690000000000005,0.2952706966294361,32.805600000000005,355.77640000000014,35.90400000000002
periodic_harmonic,3D,omega|theta|rho,33,35937,0.08782256527246224,35.229444981568044,0.13980716665338525,22.050000000000004,0.14031154022556078,22.165600000000005,123.82440000000005,5.440000000000003
periodic_harmonic,3D,omega|theta|phi,33,35937,0.15330770512407674,52.22866133750483,0.2444308565440218,32.690000000000005,0.24493523011619733,32.805600000000005,355.77640000000014,35.90400000000002
periodic_harmonic,4D,omega|theta|phi|rho,11,14641,0.538218431824738,35.02791196680674,0.8522455818598635,22.050000000000004,0.8548936085172391,22.165600000000005,123.82440000000005,9.315255371756471
periodic_harmonic,4D,omega|theta|phi|rho,17,83521,0.10470272743059672,49.92508361061742,0.13980716665338525,32.690000000000005,0.14340716665338527,32.805600000000005,355.77640000000014,35.90400000000002
lifted_chart_linear,1D,omega,65,65,0.17031446401037248,3.4757844170178513,0.755,0.7550000000000001,0.7694000000000001,0.7694000000000002,0.18750625000000007,0.12375000000000001
lifted_chart_linear,1D,theta,65,65,0.3169044465508637,0.7694000000000001,0.30250444655086367,0.7550000000000001,0.3169044465508637,0.7694000000000001,0.18750625,0.12375000000000001
lifted_chart_linear,1D,phi,65,65,0.2234995184336356,0.7694000000000001,0.2090995184336356,0.7550000000000001,0.2234995184336356,0.7694000000000001,0.18750625,0.12375000000000001
lifted_chart_linear,1D,rho,65,65,0.2644,0.7694000000000001,0.25,0.7550000000000001,0.2644,0.7694000000000001,0.18750625,0.12375000000000001
lifted_chart_linear,1D,omega,257,257,0.17031446401037248,3.4757844170178513,0.7549999999999999,0.7550000000000001,0.7694,0.7694000000000002,0.18750625000000007,0.12375000000000001
lifted_chart_linear,1D,theta,257,257,0.3169044465508637,0.7694000000000001,0.30250444655086367,0.7550000000000001,0.3169044465508637,0.7694000000000001,0.18750625,0.12375000000000001
lifted_chart_linear,1D,phi,257,257,0.2234995184336356,0.7694000000000001,0.2090995184336356,0.7550000000000001,0.2234995184336356,0.7694000000000001,0.18750625,0.12375000000000001
lifted_chart_linear,1D,rho,257,257,0.2644,0.7694000000000001,0.25,0.7550000000000001,0.2644,0.7694000000000001,0.18750625,0.12375000000000001
lifted_chart_linear,1D,omega,1025,1025,0.17031446401037248,3.4757844170178513,0.7549999999999999,0.7550000000000001,0.7694,0.7694000000000002,0.18750625000000007,0.12375000000000001
lifted_chart_linear,1D,theta,1025,1025,0.3169004323803549,0.7694000000000001,0.3025004323803549,0.7550000000000001,0.3169004323803549,0.7694000000000001,0.18750625,0.12375000000000001
lifted_chart_linear,1D,phi,1025,1025,0.2234995184336356,0.7694000000000001,0.2090995184336356,0.7550000000000001,0.2234995184336356,0.7694000000000001,0.18750625,0.12375000000000001
lifted_chart_linear,1D,rho,1025,1025,0.2644,0.7694000000000001,0.25,0.7550000000000001,0.2644,0.7694000000000001,0.18750625,0.12375000000000001
lifted_chart_linear,2D,omega|theta,33,1089,0.07024070111679108,3.4757844170178513,0.30291418557596916,0.7550000000000001,0.3173141855759692,0.7694000000000002,0.18750625000000007,0.12375000000000001
lifted_chart_linear,2D,omega|phi,33,1089,0.049473876642319996,3.4757844170178513,0.20909951843363558,0.7550000000000001,0.22349951843363558,0.7694000000000002,0.18750625000000007,0.12375000000000001
lifted_chart_linear,2D,omega|rho,33,1089,0.05852761149511629,3.4757844170178513,0.25,0.7550000000000001,0.2644,0.7694000000000002,0.18750625000000007,0.12375000000000001
lifted_chart_linear,2D,theta|phi,33,1089,0.2234995184336356,0.7694000000000001,0.2090995184336356,0.7550000000000001,0.2234995184336356,0.7694000000000001,0.18750625,0.12375000000000001
lifted_chart_linear,2D,theta|rho,33,1089,0.2644,0.7694000000000001,0.25,0.7550000000000001,0.2644,0.7694000000000001,0.18750625,0.12375000000000001
lifted_chart_linear,2D,phi|rho,33,1089,0.22299869544482462,0.7694000000000001,0.2085986954448246,0.7550000000000001,0.22299869544482462,0.7694000000000001,0.18750625,0.12375000000000001
lifted_chart_linear,2D,omega|theta,129,16641,0.07015000124358468,3.4757844170178513,0.30250444655086356,0.7550000000000001,0.3169044465508636,0.7694000000000002,0.18750625000000007,0.12375000000000001
lifted_chart_linear,2D,omega|phi,129,16641,0.049473876642319996,3.4757844170178513,0.20909951843363556,0.7550000000000001,0.22349951843363555,0.7694000000000002,0.18750625000000007,0.12375000000000001
lifted_chart_linear,2D,omega|rho,129,16641,0.05852761149511629,3.4757844170178513,0.25,0.7550000000000001,0.2644,0.7694000000000002,0.18750625000000007,0.12375000000000001
lifted_chart_linear,2D,theta|phi,129,16641,0.2234995184336356,0.7694000000000001,0.2090995184336356,0.7550000000000001,0.2234995184336356,0.7694000000000001,0.18750625,0.12375000000000001
lifted_chart_linear,2D,theta|rho,129,16641,0.2644,0.7694000000000001,0.25,0.7550000000000001,0.2644,0.7694000000000001,0.18750625,0.12375000000000001
lifted_chart_linear,2D,phi|rho,129,16641,0.22297818842887024,0.7694000000000001,0.20857818842887027,0.7550000000000001,0.22297818842887027,0.7694000000000001,0.18750625,0.12375000000000001
lifted_chart_linear,3D,theta|phi|rho,17,4913,0.22299869544482462,0.7694000000000001,0.2085986954448246,0.7550000000000001,0.22299869544482462,0.7694000000000001,0.18750625,0.12375000000000001
lifted_chart_linear,3D,omega|phi|rho,17,4913,0.0493630144134359,3.4757844170178513,0.20859869544482454,0.7550000000000001,0.22299869544482456,0.7694000000000002,0.18750625000000007,0.12375000000000001
lifted_chart_linear,3D,omega|theta|rho,17,4913,0.05852761149511629,3.4757844170178513,0.25,0.7550000000000001,0.2644,0.7694000000000002,0.18750625000000007,0.12375000000000001
lifted_chart_linear,3D,omega|theta|phi,17,4913,0.049473876642319996,3.4757844170178513,0.20909951843363558,0.7550000000000001,0.22349951843363558,0.7694000000000002,0.18750625000000007,0.12375000000000001
lifted_chart_linear,3D,theta|phi|rho,33,35937,0.22299869544482462,0.7694000000000001,0.2085986954448246,0.7550000000000001,0.22299869544482462,0.7694000000000001,0.18750625,0.12375000000000001
lifted_chart_linear,3D,omega|phi|rho,33,35937,0.0493630144134359,3.4757844170178513,0.20859869544482454,0.7550000000000001,0.22299869544482456,0.7694000000000002,0.18750625000000007,0.12375000000000001
lifted_chart_linear,3D,omega|theta|rho,33,35937,0.05852761149511629,3.4757844170178513,0.25,0.7550000000000001,0.2644,0.7694000000000002,0.18750625000000007,0.12375000000000001
lifted_chart_linear,3D,omega|theta|phi,33,35937,0.049473876642319996,3.4757844170178513,0.20909951843363558,0.7550000000000001,0.22349951843363558,0.7694000000000002,0.18750625000000007,0.12375000000000001
lifted_chart_linear,4D,omega|theta|phi|rho,11,14641,0.04936332744585956,3.4757844170178513,0.20860010957690175,0.7550000000000001,0.22300010957690175,0.7694000000000002,0.18750625000000007,0.12375000000000001
lifted_chart_linear,4D,omega|theta|phi|rho,17,83521,0.0493630144134359,3.4757844170178513,0.20859869544482454,0.7550000000000001,0.22299869544482456,0.7694000000000002,0.18750625000000007,0.12375000000000001
